,Activity,Case ID,Complete Timestamp,label
0,Round Grinding - Machine 3,Case178,2012-02-01 04:50:00,regular
1,Round Grinding - Machine 2,Case178,2012-02-01 11:00:00,regular
2,Grinding Rework - Machine 27,Case178,2012-11-01 23:47:00,regular
3,Grinding Rework - Machine 27,Case178,2012-01-15 13:30:00,regular
4,Lapping - Machine 1,Case178,2012-01-15 15:12:00,regular
5,Lapping - Machine 1,Case178,2012-01-15 17:27:00,regular
6,Grinding Rework - Machine 27,Case178,2012-01-16 10:47:00,regular
7,other,Case178,2012-01-16 15:43:00,regular
8,other,Case178,2012-01-16 23:40:00,regular
9,other,Case178,2012-01-17 06:37:00,regular
10,other,Case178,2012-01-17 16:03:00,regular
11,other,Case178,2012-01-19 10:52:00,regular
12,Grinding Rework - Machine 27,Case178,2012-01-20 12:54:00,regular
13,Grinding Rework - Machine 27,Case178,2012-01-23 16:18:00,regular
14,Grinding Rework - Machine 27,Case178,2012-01-24 18:07:00,regular
15,Grinding Rework - Machine 27,Case178,2012-01-25 21:27:00,regular
16,Grinding Rework - Machine 27,Case178,2012-01-29 09:29:00,regular
17,Grinding Rework - Machine 27,Case178,2012-01-30 07:30:00,regular
18,Grinding Rework - Machine 27,Case178,2012-09-02 10:49:00,regular
19,Grinding Rework - Machine 27,Case178,2012-02-16 16:10:00,regular
20,Grinding Rework - Machine 27,Case178,2012-07-03 18:00:00,regular
21,Grinding Rework - Machine 27,Case178,2012-07-03 23:35:00,regular
22,Grinding Rework - Machine 27,Case178,2012-08-03 15:55:00,regular
23,Grinding Rework - Machine 27,Case178,2012-08-03 22:46:00,regular
24,Grinding Rework - Machine 27,Case178,2012-09-03 12:20:00,regular
25,Grinding Rework - Machine 27,Case178,2012-11-03 15:41:00,regular
26,Grinding Rework - Machine 27,Case178,2012-11-03 19:25:00,regular
27,Grinding Rework - Machine 27,Case178,2012-12-03 09:04:00,regular
28,Grinding Rework - Machine 27,Case178,2012-12-03 15:53:00,regular
29,Turning & Milling Q.C.,Case178,2012-12-03 16:45:00,regular
30,Lapping - Machine 1,Case178,2012-03-14 01:15:00,regular
31,Laser Marking - Machine 7,Case178,2012-03-14 01:15:00,regular
32,Round Grinding - Machine 3,Case178,2012-03-14 01:15:00,regular
33,Round Grinding - Q.C.,Case178,2012-03-14 01:15:00,regular
34,regular,Case178,2012-03-14 01:15:01,regular
35,Turning & Milling - Machine 4,Case238,2012-02-01 07:00:00,deviant
36,Turning & Milling - Machine 4,Case238,2012-02-01 14:00:00,deviant
37,Turning & Milling - Machine 4,Case238,2012-02-01 16:00:00,deviant
38,Turning & Milling - Machine 4,Case238,2012-03-01 07:00:00,deviant
39,Turning & Milling - Machine 4,Case238,2012-03-01 07:43:00,deviant
40,Turning & Milling - Machine 4,Case238,2012-03-01 08:49:00,deviant
41,Turning & Milling Q.C.,Case238,2012-03-01 09:11:00,deviant
42,Turning & Milling - Machine 4,Case238,2012-03-01 16:07:00,deviant
43,Turning & Milling - Machine 4,Case238,2012-04-01 06:32:00,deviant
44,Turning & Milling Q.C.,Case238,2012-04-01 07:29:00,deviant
45,Turning & Milling - Machine 4,Case238,2012-04-01 18:03:00,deviant
46,Turning & Milling - Machine 4,Case238,2012-04-01 20:18:00,deviant
47,Turning & Milling - Machine 4,Case238,2012-05-01 06:46:00,deviant
48,Turning & Milling Q.C.,Case238,2012-05-01 09:23:00,deviant
49,Turning & Milling - Machine 4,Case238,2012-05-01 11:32:00,deviant
50,deviant,Case238,2012-05-01 11:32:01,deviant
51,Lapping - Machine 1,Case187,2012-02-01 09:30:00,deviant
52,Round Grinding - Machine 3,Case187,2012-10-01 15:49:00,deviant
53,Round Grinding - Machine 3,Case187,2012-10-01 20:04:00,deviant
54,Round Grinding - Machine 3,Case187,2012-11-01 06:52:00,deviant
55,Round Grinding - Machine 3,Case187,2012-11-01 15:54:00,deviant
56,Round Grinding - Machine 3,Case187,2012-11-01 19:59:00,deviant
57,Round Grinding - Machine 3,Case187,2012-12-01 06:44:00,deviant
58,Round Grinding - Machine 3,Case187,2012-12-01 15:51:00,deviant
59,Round Grinding - Machine 3,Case187,2012-12-01 23:42:00,deviant
60,Round Grinding - Machine 3,Case187,2012-01-13 03:18:00,deviant
61,Lapping - Machine 1,Case187,2012-01-15 15:57:00,deviant
62,Round Grinding - Machine 3,Case187,2012-01-15 16:09:00,deviant
63,Round Grinding - Machine 3,Case187,2012-01-15 23:39:00,deviant
64,Round Grinding - Machine 3,Case187,2012-01-16 05:17:00,deviant
65,Round Grinding - Machine 3,Case187,2012-01-16 21:20:00,deviant
66,Round Grinding - Machine 3,Case187,2012-01-16 23:40:00,deviant
67,Final Inspection Q.C.,Case187,2012-01-19 16:02:00,deviant
68,Final Inspection Q.C.,Case187,2012-01-22 16:01:00,deviant
69,Final Inspection Q.C.,Case187,2012-01-23 16:01:00,deviant
70,Final Inspection Q.C.,Case187,2012-01-24 15:52:00,deviant
71,Packing,Case187,2012-01-25 01:00:00,deviant
72,Final Inspection Q.C.,Case187,2012-01-25 12:01:00,deviant
73,Final Inspection Q.C.,Case187,2012-01-27 08:00:00,deviant
74,Round Grinding - Machine 3,Case187,2012-01-29 01:15:00,deviant
75,Final Inspection Q.C.,Case187,2012-01-29 07:05:00,deviant
76,Final Inspection Q.C.,Case187,2012-01-29 07:14:00,deviant
77,Final Inspection Q.C.,Case187,2012-01-29 10:36:00,deviant
78,Final Inspection Q.C.,Case187,2012-01-29 12:19:00,deviant
79,deviant,Case187,2012-01-29 12:19:01,deviant
80,Turning & Milling - Machine 8,Case263,2012-02-01 11:00:00,regular
81,Turning & Milling - Machine 8,Case263,2012-03-01 17:58:00,regular
82,Turning & Milling - Machine 8,Case263,2012-04-01 09:18:00,regular
83,Turning & Milling Q.C.,Case263,2012-04-01 10:00:00,regular
84,Turning & Milling - Machine 8,Case263,2012-04-01 11:00:00,regular
85,Turning & Milling - Machine 8,Case263,2012-04-01 16:21:00,regular
86,Turning & Milling - Machine 8,Case263,2012-05-01 07:06:00,regular
87,Turning & Milling - Machine 8,Case263,2012-05-01 10:45:00,regular
88,Turning & Milling Q.C.,Case263,2012-05-01 11:30:00,regular
89,Flat Grinding - Machine 11,Case263,2012-05-01 12:27:00,regular
90,other,Case263,2012-01-16 15:00:00,regular
91,Laser Marking - Machine 7,Case263,2012-01-17 12:11:00,regular
92,Lapping - Machine 1,Case263,2012-01-17 13:27:00,regular
93,Final Inspection Q.C.,Case263,2012-01-18 09:00:00,regular
94,Round Grinding - Manual,Case263,2012-01-18 09:11:00,regular
95,Round Grinding - Manual,Case263,2012-01-18 10:15:00,regular
96,Final Inspection Q.C.,Case263,2012-01-18 12:50:00,regular
97,Round Grinding - Manual,Case263,2012-01-18 15:45:00,regular
98,Final Inspection Q.C.,Case263,2012-01-19 15:36:00,regular
99,Final Inspection Q.C.,Case263,2012-01-22 07:57:00,regular
100,Packing,Case263,2012-01-23 01:00:00,regular
101,Packing,Case263,2012-01-23 01:00:00,regular
102,regular,Case263,2012-01-23 01:00:01,regular
103,Laser Marking - Machine 7,Case254,2012-02-01 12:15:00,regular
104,Flat Grinding - Machine 11,Case254,2012-02-01 16:00:00,regular
105,Flat Grinding - Machine 11,Case254,2012-03-01 18:23:00,regular
106,Flat Grinding - Machine 11,Case254,2012-04-01 11:54:00,regular
107,Final Inspection Q.C.,Case254,2012-04-01 15:57:00,regular
108,Packing,Case254,2012-06-01 01:00:00,regular
109,Final Inspection Q.C.,Case254,2012-06-01 10:25:00,regular
110,regular,Case254,2012-06-01 10:25:01,regular
111,Lapping - Machine 1,Case188,2012-02-01 12:50:00,deviant
112,Laser Marking - Machine 7,Case188,2012-02-01 14:00:00,deviant
113,Lapping - Machine 1,Case188,2012-02-01 16:00:00,deviant
114,Lapping - Machine 1,Case188,2012-02-01 17:00:00,deviant
115,Turning & Milling Q.C.,Case188,2012-01-17 11:22:00,deviant
116,Wire Cut - Machine 13,Case188,2012-01-29 13:00:00,deviant
117,Round Grinding - Machine 3,Case188,2012-01-02 14:34:00,deviant
118,Round Grinding - Machine 3,Case188,2012-01-02 17:59:00,deviant
119,Round Grinding - Machine 3,Case188,2012-02-02 06:47:00,deviant
120,Final Inspection Q.C.,Case188,2012-02-02 09:23:00,deviant
121,Round Grinding - Machine 3,Case188,2012-02-02 09:57:00,deviant
122,Laser Marking - Machine 7,Case188,2012-02-02 10:40:00,deviant
123,Lapping - Machine 1,Case188,2012-02-02 13:30:00,deviant
124,Round Grinding - Machine 3,Case188,2012-02-02 13:31:00,deviant
125,Round Grinding - Machine 3,Case188,2012-02-02 13:55:00,deviant
126,Round Grinding - Machine 3,Case188,2012-03-02 00:55:00,deviant
127,Final Inspection Q.C.,Case188,2012-03-02 12:54:00,deviant
128,Round Grinding - Machine 3,Case188,2012-05-02 01:15:00,deviant
129,Round Grinding - Machine 3,Case188,2012-05-02 06:53:00,deviant
130,Final Inspection Q.C.,Case188,2012-05-02 11:32:00,deviant
131,Final Inspection Q.C.,Case188,2012-05-02 14:07:00,deviant
132,deviant,Case188,2012-05-02 14:07:01,deviant
