
Hyperopt trials:
tid,loss,time,params used
0, 1.805139, 3197.512977, {'batch_size': [5.806616036040133], 'dropout': [0.3842039160929554], 'gamma': [0.7191258851981932], 'learning_rate': [0.0064844094062585095], 'lstmA_size_1': [12.464479850690907], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [66.29099922696447], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [13.217578141009714], 'shared_lstm_size': [59.000325674537464], 'word2vec_size': [453.0]}
1, 1.915368, 8113.612899, {'batch_size': [5.120345703576517], 'dropout': [0.03212627435930687], 'gamma': [0.7740234186534869], 'learning_rate': [1.699644117163696e-05], 'lstmA_size_1': [88.290782634509], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [15.539022881113677], 'lstmA_size_3_3': [10.042400909661158], 'lstmO_size_1': [13.25747881832311], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [44.14612702693328], 'lstmO_size_3_3': [15.126573424251415], 'n_layers': [2], 'output_dim_embedding': [17.761739525821575], 'shared_lstm_size': [79.80376017606174], 'word2vec_size': [198.0]}
2, 1.848817, 1773.936520, {'batch_size': [4.827975473667914], 'dropout': [0.27902569423394136], 'gamma': [0.8343909884670137], 'learning_rate': [0.00017665176614369726], 'lstmA_size_1': [137.26558360611125], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [20.194364013937317], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [76.2378754831802], 'shared_lstm_size': [31.724318836223667], 'word2vec_size': [673.0]}
3, 1.117938, 8730.775281, {'batch_size': [3.9314863140649075], 'dropout': [0.3062364295363406], 'gamma': [0.36553330989523447], 'learning_rate': [9.227579603337432e-05], 'lstmA_size_1': [21.16314914676161], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [14.13323918765718], 'lstmA_size_3_3': [46.05528457573664], 'lstmO_size_1': [129.7702105246253], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [88.40900062605246], 'lstmO_size_3_3': [32.12946971302353], 'n_layers': [2], 'output_dim_embedding': [17.138583199224346], 'shared_lstm_size': [13.095001893268718], 'word2vec_size': [112.0]}
4, 1.451779, 3947.785364, {'batch_size': [5.5129502057825555], 'dropout': [0.40276846112478526], 'gamma': [0.6027461770827636], 'learning_rate': [7.395309970716421e-05], 'lstmA_size_1': [39.51491412594641], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [15.837502569514301], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [130.4476450896388], 'shared_lstm_size': [30.19203964257521], 'word2vec_size': [400.0]}
5, 1.854585, 5728.557101, {'batch_size': [4.662240013207486], 'dropout': [0.15507269126515422], 'gamma': [0.7894190225125843], 'learning_rate': [0.00020272018465061228], 'lstmA_size_1': [36.309193191281146], 'lstmA_size_2_2': [11.785520905304365], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [88.13878104067297], 'lstmO_size_2_2': [98.56737520167712], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [36.66122202159092], 'shared_lstm_size': [31.775046871597223], 'word2vec_size': [215.0]}
6, 0.555121, 3447.709997, {'batch_size': [4.172893133584215], 'dropout': [0.0024707419197032565], 'gamma': [0.1255560562095356], 'learning_rate': [2.5028184149597082e-05], 'lstmA_size_1': [147.36698776424876], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [37.48366607610778], 'lstmA_size_3_3': [15.698691390660885], 'lstmO_size_1': [51.74153011860226], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [24.9067174834664], 'lstmO_size_3_3': [29.948155289678457], 'n_layers': [2], 'output_dim_embedding': [146.65779222647643], 'shared_lstm_size': [24.527130702554377], 'word2vec_size': [331.0]}
7, 1.866393, 9431.996902, {'batch_size': [4.6202073013560945], 'dropout': [0.1408190524314289], 'gamma': [0.7999412340319741], 'learning_rate': [3.174838564643305e-05], 'lstmA_size_1': [31.264022644364548], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [121.22876223250489], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [18.389314259766163], 'shared_lstm_size': [20.14125476909919], 'word2vec_size': [534.0]}
8, 1.272637, 3744.811335, {'batch_size': [4.435189601263787], 'dropout': [0.08850794852197219], 'gamma': [0.4759049358818169], 'learning_rate': [0.005290807310791628], 'lstmA_size_1': [14.36421625575788], 'lstmA_size_2_2': [19.97673539793348], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [29.299911510478523], 'lstmO_size_2_2': [28.750206233731802], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [74.81847751733312], 'shared_lstm_size': [44.978451192238644], 'word2vec_size': [942.0]}
9, 2.163958, 87933.649175, {'batch_size': [3.5867921845125976], 'dropout': [0.3566805490776837], 'gamma': [0.8628727845002412], 'learning_rate': [2.6567029634492537e-05], 'lstmA_size_1': [19.43903415508384], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [16.40083100178281], 'lstmA_size_3_3': [15.8065956759421], 'lstmO_size_1': [16.692230660783412], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [143.9656019553441], 'lstmO_size_3_3': [87.69581290198158], 'n_layers': [2], 'output_dim_embedding': [12.981590851671516], 'shared_lstm_size': [92.49835787326359], 'word2vec_size': [297.0]}
10, 0.872527, 3413.219503, {'batch_size': [3.2817172334839877], 'dropout': [0.05298268721417737], 'gamma': [0.2795034888519028], 'learning_rate': [8.243981957169731e-05], 'lstmA_size_1': [21.5247160112508], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [63.5501217229773], 'lstmA_size_3_3': [16.618469995345897], 'lstmO_size_1': [73.85984800266871], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [11.779209907298046], 'lstmO_size_3_3': [48.86736112280344], 'n_layers': [2], 'output_dim_embedding': [53.420082096468946], 'shared_lstm_size': [54.11573833296755], 'word2vec_size': [817.0]}
11, 0.996748, 8833.214060, {'batch_size': [3.9515579881131413], 'dropout': [0.35503764026086143], 'gamma': [0.3574791773430124], 'learning_rate': [0.0001770715900148479], 'lstmA_size_1': [116.84722390166698], 'lstmA_size_2_2': [10.599448230464427], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [24.303958720683955], 'lstmO_size_2_2': [18.90192081262865], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [21.108862220850945], 'shared_lstm_size': [50.3634865111807], 'word2vec_size': [373.0]}
12, 1.901021, 5078.618157, {'batch_size': [3.790332265986958], 'dropout': [0.459449874825466], 'gamma': [0.5425002682987085], 'learning_rate': [0.0041539405649426405], 'lstmA_size_1': [12.327152225923696], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [18.804067313790128], 'lstmA_size_3_3': [11.97125013939608], 'lstmO_size_1': [23.350424735977988], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [12.000735114296647], 'lstmO_size_3_3': [12.498104980805959], 'n_layers': [2], 'output_dim_embedding': [27.23394398951071], 'shared_lstm_size': [29.964233793862036], 'word2vec_size': [227.0]}
13, 0.946336, 8922.489500, {'batch_size': [4.758698879417269], 'dropout': [0.41639970608343657], 'gamma': [0.2924293045799045], 'learning_rate': [1.1168955835084893e-05], 'lstmA_size_1': [21.862375510160724], 'lstmA_size_2_2': [124.43422314844794], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [50.84268970166444], 'lstmO_size_2_2': [21.85995454853883], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [19.956417983997014], 'shared_lstm_size': [16.80100122814372], 'word2vec_size': [107.0]}
14, 0.824140, 5323.355945, {'batch_size': [3.7289904205966025], 'dropout': [0.11850106084332768], 'gamma': [0.27217299879678225], 'learning_rate': [6.320175468943812e-05], 'lstmA_size_1': [96.63124994568791], 'lstmA_size_2_2': [15.931871126334032], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [19.140899635555563], 'lstmO_size_2_2': [53.189900780612675], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [68.61444181583684], 'shared_lstm_size': [32.3023668240595], 'word2vec_size': [472.0]}
15, 1.078267, 12880.566118, {'batch_size': [3.3575252593768363], 'dropout': [0.4238601713061387], 'gamma': [0.3578137293686563], 'learning_rate': [8.641143243536215e-05], 'lstmA_size_1': [68.6448258942678], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [23.729465730839486], 'lstmA_size_3_3': [40.872756514586264], 'lstmO_size_1': [125.1531939536763], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [59.77098983132739], 'lstmO_size_3_3': [53.664990949311445], 'n_layers': [2], 'output_dim_embedding': [91.06252146730529], 'shared_lstm_size': [15.637769372361308], 'word2vec_size': [507.0]}
16, 0.891146, 8645.420594, {'batch_size': [4.759361257665676], 'dropout': [0.3729427356834553], 'gamma': [0.31466720044506835], 'learning_rate': [3.2576558937431354e-05], 'lstmA_size_1': [25.52571040296117], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [54.1097150113724], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [14.521479842096197], 'shared_lstm_size': [118.74991997942472], 'word2vec_size': [438.0]}
17, 0.925014, 1274.151761, {'batch_size': [4.5427209607706125], 'dropout': [0.029855531749769237], 'gamma': [0.3315499224173266], 'learning_rate': [0.0010596861694748686], 'lstmA_size_1': [87.14644447967244], 'lstmA_size_2_2': [105.52134947033731], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [87.2173484957976], 'lstmO_size_2_2': [46.15192827074621], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [59.037128818958415], 'shared_lstm_size': [61.20839855443562], 'word2vec_size': [589.0]}
18, 1.311972, 5293.784518, {'batch_size': [4.808830043791551], 'dropout': [0.4295462062924336], 'gamma': [0.5250326944660039], 'learning_rate': [0.000586287340194339], 'lstmA_size_1': [11.497773010026389], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [10.405135847062187], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [142.89754530088138], 'shared_lstm_size': [88.55854670246262], 'word2vec_size': [818.0]}
19, 1.039778, 4535.977994, {'batch_size': [5.366771675255897], 'dropout': [0.37467462775383087], 'gamma': [0.3446494436507348], 'learning_rate': [0.00020460926022542277], 'lstmA_size_1': [13.092932315047218], 'lstmA_size_2_2': [23.6011915565823], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [18.501133178086775], 'lstmO_size_2_2': [61.06648528877644], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [57.530417156890245], 'shared_lstm_size': [14.395065775746023], 'word2vec_size': [992.0]}
Total time: 2 days, 7:37:31.145701

Best parameters:{'batch_size': 4, 'dropout': 0.0024707419197032565, 'gamma': 0.1255560562095356, 'learning_rate': 2.5028184149597082e-05, 'lstmA_size_1': 147, 'lstmO_size_1': 51, 'n_layers': {'lstmA_size_2_3': 37, 'lstmA_size_3_3': 15, 'lstmO_size_2_3': 24, 'lstmO_size_3_3': 29, 'n_layers': 3}, 'output_dim_embedding': 146, 'shared_lstm_size': 24, 'word2vec_size': 331}
