
Hyperopt trials:
tid,loss,time,params used
0, 0.248605, 50.076231, {'batch_size': [4.211890353686086], 'dropout': [0.3598143709961454], 'gamma': [0.16032322970971677], 'learning_rate': [0.0006050675863212535], 'lstmA_size_1': [110.12322133528896], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [120.71085839301125], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [14.84831520046559], 'shared_lstm_size': [14.460404231554682], 'word2vec_size': [317.0]}
1, 0.248849, 111.239774, {'batch_size': [3.4166274352212316], 'dropout': [0.0737069633710829], 'gamma': [0.263306013046113], 'learning_rate': [0.002485536689923564], 'lstmA_size_1': [14.64252394795034], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [107.67496083991597], 'lstmA_size_3_3': [66.04598576588285], 'lstmO_size_1': [13.46916715782607], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [45.99488541997033], 'lstmO_size_3_3': [21.110453317606357], 'n_layers': [2], 'output_dim_embedding': [56.92232106020832], 'shared_lstm_size': [90.87143558463245], 'word2vec_size': [291.0]}
2, 0.276010, 173.986777, {'batch_size': [4.187086967869101], 'dropout': [0.28650334466502664], 'gamma': [0.7601153469773413], 'learning_rate': [3.785539039627426e-05], 'lstmA_size_1': [103.48310079734846], 'lstmA_size_2_2': [41.62793952941553], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [26.705426484859075], 'lstmO_size_2_2': [17.588028077861797], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [16.765590420236556], 'shared_lstm_size': [32.51665948503452], 'word2vec_size': [967.0]}
3, 0.255366, 82.475179, {'batch_size': [3.922393678141858], 'dropout': [0.26080774833772935], 'gamma': [0.42757521714518676], 'learning_rate': [0.0030092450827579353], 'lstmA_size_1': [29.37825449542972], 'lstmA_size_2_2': [70.81175854574985], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [27.939102705350912], 'lstmO_size_2_2': [70.3030231375105], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [21.01365044311214], 'shared_lstm_size': [49.036300861801855], 'word2vec_size': [354.0]}
4, 0.235180, 58.393602, {'batch_size': [4.862015541958181], 'dropout': [0.01015761844293922], 'gamma': [0.16976140638988302], 'learning_rate': [0.007198170965471563], 'lstmA_size_1': [15.559911562386699], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [33.32553018940695], 'lstmA_size_3_3': [26.58164918502509], 'lstmO_size_1': [24.498970107997874], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [20.76823622303158], 'lstmO_size_3_3': [115.47399842141857], 'n_layers': [2], 'output_dim_embedding': [33.62116015865563], 'shared_lstm_size': [14.835816821837627], 'word2vec_size': [56.0]}
5, 0.265837, 98.617128, {'batch_size': [3.6218570596728243], 'dropout': [0.26259714933453604], 'gamma': [0.49364125316298824], 'learning_rate': [0.00014326069553436972], 'lstmA_size_1': [11.071484880739574], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [34.997429680151086], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [124.25934528770496], 'shared_lstm_size': [41.92529072843078], 'word2vec_size': [442.0]}
6, 0.212782, 44.567391, {'batch_size': [4.2610524648926], 'dropout': [0.14936644249941067], 'gamma': [0.42863507943416523], 'learning_rate': [0.009836130922174674], 'lstmA_size_1': [17.188015671057567], 'lstmA_size_2_2': [51.40917476107767], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [38.7091007714221], 'lstmO_size_2_2': [11.60811363910334], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [48.12500638783323], 'shared_lstm_size': [18.5792084249806], 'word2vec_size': [470.0]}
7, 0.263724, 53.219636, {'batch_size': [5.996858886264874], 'dropout': [0.18746307537806073], 'gamma': [0.7154979110146104], 'learning_rate': [0.00028817355335024125], 'lstmA_size_1': [23.657102196322263], 'lstmA_size_2_2': [31.314567477848946], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [77.70529031132793], 'lstmO_size_2_2': [20.182572439421282], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [47.07853194209064], 'shared_lstm_size': [13.923827541404862], 'word2vec_size': [475.0]}
8, 0.253592, 71.003423, {'batch_size': [4.575903189976126], 'dropout': [0.4554813293577197], 'gamma': [0.580686962758225], 'learning_rate': [0.0008157725300160252], 'lstmA_size_1': [39.89213030011056], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [94.49955475262313], 'lstmA_size_3_3': [15.799062530136531], 'lstmO_size_1': [20.904191549344684], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [16.524678108229924], 'lstmO_size_3_3': [16.956326849811514], 'n_layers': [2], 'output_dim_embedding': [54.366495048827794], 'shared_lstm_size': [36.16444391276733], 'word2vec_size': [679.0]}
9, 0.233686, 142.383860, {'batch_size': [3.632481214673054], 'dropout': [0.14914127844309344], 'gamma': [0.8558895868371466], 'learning_rate': [0.0019354089139924481], 'lstmA_size_1': [36.00875241790695], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [40.89271739591467], 'lstmA_size_3_3': [120.41372841943264], 'lstmO_size_1': [100.84089793365064], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [131.76856354342078], 'lstmO_size_3_3': [17.479166541278722], 'n_layers': [2], 'output_dim_embedding': [14.675417611648363], 'shared_lstm_size': [12.03101713967531], 'word2vec_size': [41.0]}
10, 0.279422, 233.388972, {'batch_size': [4.507704747836138], 'dropout': [0.28063156576352205], 'gamma': [0.23469016202586712], 'learning_rate': [5.4217624475267435e-05], 'lstmA_size_1': [113.0383591840542], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [118.82366271947167], 'lstmA_size_3_3': [41.7791390583836], 'lstmO_size_1': [37.46814851628786], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [30.199352367142257], 'lstmO_size_3_3': [10.547722933060005], 'n_layers': [2], 'output_dim_embedding': [74.46145864098403], 'shared_lstm_size': [94.88192128178542], 'word2vec_size': [76.0]}
