
Hyperopt trials:
tid,loss,time,params used
0, 0.286889, 76.893423, {'batch_size': [4.1245178539813985], 'dropout': [0.0881091874171574], 'learning_rate': [6.807096163357085e-05], 'lstmO_size_1': [137.65746619374417], 'lstmO_size_2_2': [83.14973331406006], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [34.75816600651285], 'shared_lstm_size': [19.781745612893815], 'word2vec_size': [629.0]}
1, 0.250939, 161.862155, {'batch_size': [3.2096209880725985], 'dropout': [0.2937403809074331], 'learning_rate': [0.0023838301175449174], 'lstmO_size_1': [37.72502258738597], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [12.913891448252478], 'lstmO_size_3_3': [13.875972782602389], 'n_layers': [2], 'output_dim_embedding': [26.0728696535509], 'shared_lstm_size': [93.01445529587662], 'word2vec_size': [314.0]}
2, 0.266175, 112.558473, {'batch_size': [3.293336304650681], 'dropout': [0.3287127726993161], 'learning_rate': [0.0006073706656048116], 'lstmO_size_1': [13.404685656616786], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [31.740465797537617], 'lstmO_size_3_3': [25.316033139776376], 'n_layers': [2], 'output_dim_embedding': [25.966814924480346], 'shared_lstm_size': [108.40327723773947], 'word2vec_size': [155.0]}
3, 0.305197, 210.746114, {'batch_size': [4.417474444979707], 'dropout': [0.2719083076518119], 'learning_rate': [1.610532150870512e-05], 'lstmO_size_1': [62.9300911096119], 'lstmO_size_2_2': [127.94688676667478], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [20.782336552664432], 'shared_lstm_size': [119.9353434650988], 'word2vec_size': [381.0]}
4, 0.278145, 71.914816, {'batch_size': [5.344230674000173], 'dropout': [0.131596824363571], 'learning_rate': [7.566843757834326e-05], 'lstmO_size_1': [16.335490042405358], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [46.4077416051013], 'shared_lstm_size': [89.94243193128838], 'word2vec_size': [285.0]}
5, 0.279358, 149.704262, {'batch_size': [4.733938893695846], 'dropout': [0.06552514538124143], 'learning_rate': [4.1623410922352e-05], 'lstmO_size_1': [80.11457473387041], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [45.73672005415989], 'lstmO_size_3_3': [34.85260693422897], 'n_layers': [2], 'output_dim_embedding': [38.77624893969531], 'shared_lstm_size': [14.217865699311536], 'word2vec_size': [438.0]}
6, 0.268437, 114.058623, {'batch_size': [3.4353337133981747], 'dropout': [0.37047240828743155], 'learning_rate': [9.981603918799873e-05], 'lstmO_size_1': [34.46665124850541], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [13.98960326750646], 'shared_lstm_size': [31.811804826098015], 'word2vec_size': [487.0]}
7, 0.245991, 108.209406, {'batch_size': [4.317521181964624], 'dropout': [0.36591430599081204], 'learning_rate': [0.0011977689316660855], 'lstmO_size_1': [17.358402504145765], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [138.84465894639413], 'lstmO_size_3_3': [24.068326805423496], 'n_layers': [2], 'output_dim_embedding': [15.956422844699912], 'shared_lstm_size': [121.36705914197448], 'word2vec_size': [325.0]}
8, 0.258604, 73.904461, {'batch_size': [5.574045853234671], 'dropout': [0.09165975775805807], 'learning_rate': [0.0003571834151231383], 'lstmO_size_1': [42.87323911470573], 'lstmO_size_2_2': [73.34028504859944], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [13.297637792586567], 'shared_lstm_size': [28.866711720800136], 'word2vec_size': [262.0]}
9, 0.239123, 115.675970, {'batch_size': [3.9916845866477706], 'dropout': [0.17831741512012345], 'learning_rate': [0.001813465110792569], 'lstmO_size_1': [74.73151347864109], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [108.30416802391991], 'shared_lstm_size': [26.28386865832479], 'word2vec_size': [878.0]}
10, 0.236992, 68.210229, {'batch_size': [4.4856467524036105], 'dropout': [0.025052141357990887], 'learning_rate': [0.001898708642655764], 'lstmO_size_1': [49.04451008839656], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [87.10773854836803], 'shared_lstm_size': [47.24462970736423], 'word2vec_size': [607.0]}
