
Hyperopt trials:
tid,loss,time,params used
0, 562902.062500, 183.547477, {'batch_size': [3.748224402649474], 'dropout': [0.15728770622710736], 'gamma': [0.608388117675962], 'learning_rate': [0.00797143956932274], 'lstmA_size_1': [29.30480235746415], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [29.58519486860137], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [60.343200921930546], 'shared_lstm_size': [38.92285989639234], 'word2vec_size': [146.0]}
1, 1406957.875000, 202.548917, {'batch_size': [5.981017496715436], 'dropout': [0.32683524918609086], 'gamma': [0.14547329366449074], 'learning_rate': [0.0004250121796756853], 'lstmA_size_1': [53.096745750094534], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [29.514735662968988], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [13.20283883732885], 'shared_lstm_size': [11.414352730697251], 'word2vec_size': [376.0]}
2, 1417815.250000, 475.963962, {'batch_size': [4.123423809511246], 'dropout': [0.26472454766210207], 'gamma': [0.5509201939685315], 'learning_rate': [5.470465041275231e-05], 'lstmA_size_1': [26.848920931454778], 'lstmA_size_2_2': [41.6367693358775], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [31.926993954612044], 'lstmO_size_2_2': [28.905765543347304], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [23.454127004849806], 'shared_lstm_size': [12.676187677796587], 'word2vec_size': [580.0]}
3, 1411584.250000, 454.057276, {'batch_size': [4.273015270677535], 'dropout': [0.16214139905799163], 'gamma': [0.49605832127497207], 'learning_rate': [0.00036441394834589103], 'lstmA_size_1': [12.468138551345152], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [43.71657728488209], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [113.82826456666977], 'shared_lstm_size': [36.232814742960514], 'word2vec_size': [860.0]}
4, 1417557.125000, 925.614458, {'batch_size': [4.9779055296952635], 'dropout': [0.07045135495134458], 'gamma': [0.7127240268725132], 'learning_rate': [5.921694499850383e-05], 'lstmA_size_1': [52.171421315079876], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [21.356892084596645], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [0], 'output_dim_embedding': [129.13980349331402], 'shared_lstm_size': [97.46049372195628], 'word2vec_size': [992.0]}
5, 1231192.000000, 1335.019196, {'batch_size': [3.7864687319594914], 'dropout': [0.10655087219258391], 'gamma': [0.8528525596435913], 'learning_rate': [0.0008303417986959704], 'lstmA_size_1': [12.585770125425178], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [61.93734274865962], 'lstmA_size_3_3': [18.666902969328593], 'lstmO_size_1': [12.38791296533098], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [59.881435919718385], 'lstmO_size_3_3': [31.37245304410688], 'n_layers': [2], 'output_dim_embedding': [101.32281009044449], 'shared_lstm_size': [47.02040242711843], 'word2vec_size': [783.0]}
6, 560337.687500, 533.678948, {'batch_size': [3.073314280049774], 'dropout': [0.37198967901640295], 'gamma': [0.11707334819984849], 'learning_rate': [0.002780192059196605], 'lstmA_size_1': [44.353778231280145], 'lstmA_size_2_2': [118.26397718421995], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [43.2659168230818], 'lstmO_size_2_2': [22.003029980834995], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [26.859721211115662], 'shared_lstm_size': [51.76564842714083], 'word2vec_size': [878.0]}
7, 1415138.625000, 911.955912, {'batch_size': [3.484547253766397], 'dropout': [0.35505418790003107], 'gamma': [0.806050084696197], 'learning_rate': [0.00011540418233012282], 'lstmA_size_1': [16.243118831994583], 'lstmA_size_2_2': [15.136025058946943], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [44.907641771874324], 'lstmO_size_2_2': [35.63194105109991], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [10.102095885909804], 'shared_lstm_size': [14.04709181236996], 'word2vec_size': [666.0]}
8, 1375704.250000, 445.631250, {'batch_size': [5.748898761197523], 'dropout': [0.14976843230645287], 'gamma': [0.7901195174879113], 'learning_rate': [0.001709876552303714], 'lstmA_size_1': [89.29844443724328], 'lstmA_size_2_2': [], 'lstmA_size_2_3': [17.296779832292824], 'lstmA_size_3_3': [13.13912386879555], 'lstmO_size_1': [144.50095890681985], 'lstmO_size_2_2': [], 'lstmO_size_2_3': [12.055632418842313], 'lstmO_size_3_3': [14.272349956359312], 'n_layers': [2], 'output_dim_embedding': [12.511694093101452], 'shared_lstm_size': [23.82305501396281], 'word2vec_size': [175.0]}
9, 1418351.125000, 697.273285, {'batch_size': [5.167332281710767], 'dropout': [0.32814733971623394], 'gamma': [0.49385388590961454], 'learning_rate': [3.082827856744651e-05], 'lstmA_size_1': [44.4203215730457], 'lstmA_size_2_2': [25.96337747961146], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [14.278629619834643], 'lstmO_size_2_2': [61.576035828006034], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [12.239193456083655], 'shared_lstm_size': [54.7953405062097], 'word2vec_size': [999.0]}
10, 1415827.250000, 534.368823, {'batch_size': [4.337146585512143], 'dropout': [0.42115929829761173], 'gamma': [0.32829145691296024], 'learning_rate': [0.00018708627366534735], 'lstmA_size_1': [34.36675588903402], 'lstmA_size_2_2': [16.626395839467712], 'lstmA_size_2_3': [], 'lstmA_size_3_3': [], 'lstmO_size_1': [12.493605808610443], 'lstmO_size_2_2': [50.23855259379478], 'lstmO_size_2_3': [], 'lstmO_size_3_3': [], 'n_layers': [1], 'output_dim_embedding': [105.8372055208496], 'shared_lstm_size': [21.881832944770302], 'word2vec_size': [366.0]}
