Part_Desc_,Rework,Work_Order_Qty,Case ID,label,Activity,Resource,Report_Type,Resource.1,Qty_Completed,Qty_for_MRB,activity_duration,Complete Timestamp,timesincemidnight,month,weekday,hour,timesincelastevent,timesincecasestart,event_nr,open_cases
Cable Head,missing,250,Case178,regular,Round Grinding - Machine 3,ID4445,D,Machine 3 - Round Grinding,31,0,290,02/01/2012 04:50,290,1,0,4,0,0,1,1
Cable Head,missing,250,Case178,regular,Round Grinding - Machine 2,ID4355,S,Machine 2 - Round Grinding,0,0,60,02/01/2012 11:00,660,1,0,11,370,370,2,4
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,56,11/01/2012 23:47,1427,1,2,23,13727,14097,3,31
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,322,15/01/2012 13:30,810,1,6,13,5143,19240,4,29
Cable Head,missing,250,Case178,regular,Lapping - Machine 1,ID4882,D,Machine 1 - Lapping,0,0,299,15/01/2012 15:12,912,1,6,15,102,19342,5,29
Cable Head,missing,250,Case178,regular,Lapping - Machine 1,ID0998,D,Machine 1 - Lapping,0,0,427,15/01/2012 17:27,1047,1,6,17,135,19477,6,29
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,230,16/01/2012 10:47,647,1,0,10,1040,20517,7,30
Cable Head,missing,250,Case178,regular,other,ID4355,D,Machine 2 - Round Grinding,22,0,329,16/01/2012 15:43,943,1,0,15,296,20813,8,31
Cable Head,missing,250,Case178,regular,other,ID4385,D,Machine 2 - Round Grinding,0,0,427,16/01/2012 23:40,1420,1,0,23,477,21290,9,31
Cable Head,missing,250,Case178,regular,other,ID4528,D,other,0,0,405,17/01/2012 06:37,397,1,1,6,417,21707,10,32
Cable Head,missing,250,Case178,regular,other,ID4355,D,Machine 2 - Round Grinding,0,0,550,17/01/2012 16:03,963,1,1,16,566,22273,11,34
Cable Head,missing,250,Case178,regular,other,ID4355,D,Machine 2 - Round Grinding,20,0,241,19/01/2012 10:52,652,1,3,10,2569,24842,12,35
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,223,20/01/2012 12:54,774,1,4,12,1562,26404,13,35
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,9,23/01/2012 16:18,978,1,0,16,4524,30928,14,35
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,121,24/01/2012 18:07,1087,1,1,18,1549,32477,15,34
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,317,25/01/2012 21:27,1287,1,2,21,1640,34117,16,33
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,68,29/01/2012 09:29,569,1,6,9,5042,39159,17,32
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,18,30/01/2012 07:30,450,1,0,7,1321,40480,18,30
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4528,D,Machine 27 - Grinding,0,0,47,09/02/2012 10:49,649,2,3,10,14599,55079,19,36
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,299,16/02/2012 16:10,970,2,3,16,10401,65480,20,30
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4528,D,Machine 27 - Grinding,0,0,160,07/03/2012 18:00,1080,3,2,18,28910,94390,21,21
Cable Head,missing,250,Case178,regular,Grinding Rework - Machine 27,ID4872,D,Machine 27 - Grinding,0,0,245,07/03/2012 23:35,1415,3,2,23,335,94725,22,21
