request,cat_item,sys_updated_on,assignment_group,state,outcome,act_state,act_dv_state,ending_timestamp,seconds_to_end,days_to_end
4bb53fbb87d901d05addc8490cbb354d,aa347d1d87bf709094f140490cbb35a2,32:39.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,aa347d1d87bf709094f140490cbb35a2 (1),aa347d1d87bf709094f140490cbb35a2 (Open),22/02/2022 06:00,1628849,18.852418981
4bb53fbb87d901d05addc8490cbb354d,9e7005e2db8f50107ea8264cd39619b5,32:39.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,9e7005e2db8f50107ea8264cd39619b5 (1),9e7005e2db8f50107ea8264cd39619b5 (Open),22/02/2022 06:00,1628849,18.852418981
4bb53fbb87d901d05addc8490cbb354d,7ba4ec3e1be7749456f2ece5604bcb07,32:39.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,7ba4ec3e1be7749456f2ece5604bcb07 (1),7ba4ec3e1be7749456f2ece5604bcb07 (Open),22/02/2022 06:00,1628849,18.852418981
4bb53fbb87d901d05addc8490cbb354d,5d27f19587ff709094f140490cbb3528,32:40.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,5d27f19587ff709094f140490cbb3528 (1),5d27f19587ff709094f140490cbb3528 (Open),22/02/2022 06:00,1628848,18.852407407
4bb53fbb87d901d05addc8490cbb354d,b019b9a2dba71454b890bd5c68961990,32:40.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,b019b9a2dba71454b890bd5c68961990 (1),b019b9a2dba71454b890bd5c68961990 (Open),22/02/2022 06:00,1628848,18.852407407
4bb53fbb87d901d05addc8490cbb354d,40abdc16877b30d094f140490cbb351d,32:40.0,fd53facf1b4690501f91759b1d4bcb82,1,Closed Complete,40abdc16877b30d094f140490cbb351d (1),40abdc16877b30d094f140490cbb351d (Open),22/02/2022 06:00,1628848,18.852407407
4bb53fbb87d901d05addc8490cbb354d,590a79518733b09094f140490cbb3580,32:41.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,590a79518733b09094f140490cbb3580 (1),590a79518733b09094f140490cbb3580 (Open),22/02/2022 06:00,1628847,18.852395833
4bb53fbb87d901d05addc8490cbb354d,3385105e87f730d094f140490cbb35cd,32:41.0,fd788121db5ea050816b7b42f396192f,1,Closed Complete,3385105e87f730d094f140490cbb35cd (1),3385105e87f730d094f140490cbb35cd (Open),22/02/2022 06:00,1628847,18.852395833
4bb53fbb87d901d05addc8490cbb354d,16ef04da87b730d094f140490cbb350d,32:42.0,44c88337db3d2410ca98166f2996192d,1,Closed Complete,16ef04da87b730d094f140490cbb350d (1),16ef04da87b730d094f140490cbb350d (Open),22/02/2022 06:00,1628846,18.852384259
4bb53fbb87d901d05addc8490cbb354d,00e9e12587604d9494f140490cbb357f,32:42.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,00e9e12587604d9494f140490cbb357f (1),00e9e12587604d9494f140490cbb357f (Open),22/02/2022 06:00,1628846,18.852384259
4bb53fbb87d901d05addc8490cbb354d,da0a989e873b30d094f140490cbb3593,15:18.0,ffb84337db3d2410ca98166f299619c5,-5,Closed Complete,da0a989e873b30d094f140490cbb3593 (-5),da0a989e873b30d094f140490cbb3593 (Pending),22/02/2022 06:00,1626290,18.822800926
4bb53fbb87d901d05addc8490cbb354d,8e4d445287b730d094f140490cbb35b4,19:34.0,ccc88337db3d2410ca98166f29961929,1,Closed Complete,8e4d445287b730d094f140490cbb35b4 (1),8e4d445287b730d094f140490cbb35b4 (Open),22/02/2022 06:00,1626034,18.819837963
4bb53fbb87d901d05addc8490cbb354d,16ef04da87b730d094f140490cbb350d,59:14.0,44c88337db3d2410ca98166f2996192d,1,Closed Complete,16ef04da87b730d094f140490cbb350d (1),16ef04da87b730d094f140490cbb350d (Open),22/02/2022 06:00,1623654,18.792291667
4bb53fbb87d901d05addc8490cbb354d,3385105e87f730d094f140490cbb35cd,03:02.0,fd788121db5ea050816b7b42f396192f,1,Closed Complete,3385105e87f730d094f140490cbb35cd (1),3385105e87f730d094f140490cbb35cd (Open),22/02/2022 06:00,1619826,18.747986111
4bb53fbb87d901d05addc8490cbb354d,aa347d1d87bf709094f140490cbb35a2,22:04.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,aa347d1d87bf709094f140490cbb35a2 (1),aa347d1d87bf709094f140490cbb35a2 (Open),22/02/2022 06:00,1575484,18.234768519
4bb53fbb87d901d05addc8490cbb354d,b019b9a2dba71454b890bd5c68961990,22:11.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,b019b9a2dba71454b890bd5c68961990 (1),b019b9a2dba71454b890bd5c68961990 (Open),22/02/2022 06:00,1575477,18.234687500
4bb53fbb87d901d05addc8490cbb354d,590a79518733b09094f140490cbb3580,22:18.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,590a79518733b09094f140490cbb3580 (1),590a79518733b09094f140490cbb3580 (Open),22/02/2022 06:00,1575470,18.234606481
4bb53fbb87d901d05addc8490cbb354d,9e7005e2db8f50107ea8264cd39619b5,30:16.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,9e7005e2db8f50107ea8264cd39619b5 (1),9e7005e2db8f50107ea8264cd39619b5 (Open),22/02/2022 06:00,1567792,18.145740741
4bb53fbb87d901d05addc8490cbb354d,9e7005e2db8f50107ea8264cd39619b5,30:16.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,9e7005e2db8f50107ea8264cd39619b5 (1),9e7005e2db8f50107ea8264cd39619b5 (Open),22/02/2022 06:00,1567792,18.145740741
4bb53fbb87d901d05addc8490cbb354d,9e7005e2db8f50107ea8264cd39619b5,30:16.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,9e7005e2db8f50107ea8264cd39619b5 (1),9e7005e2db8f50107ea8264cd39619b5 (Open),22/02/2022 06:00,1567792,18.145740741
4bb53fbb87d901d05addc8490cbb354d,9e7005e2db8f50107ea8264cd39619b5,30:16.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,9e7005e2db8f50107ea8264cd39619b5 (1),9e7005e2db8f50107ea8264cd39619b5 (Open),22/02/2022 06:00,1567792,18.145740741
4bb53fbb87d901d05addc8490cbb354d,9e7005e2db8f50107ea8264cd39619b5,30:16.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,9e7005e2db8f50107ea8264cd39619b5 (1),9e7005e2db8f50107ea8264cd39619b5 (Open),22/02/2022 06:00,1567792,18.145740741
4bb53fbb87d901d05addc8490cbb354d,9e7005e2db8f50107ea8264cd39619b5,30:16.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,9e7005e2db8f50107ea8264cd39619b5 (1),9e7005e2db8f50107ea8264cd39619b5 (Open),22/02/2022 06:00,1567792,18.145740741
4bb53fbb87d901d05addc8490cbb354d,9e7005e2db8f50107ea8264cd39619b5,30:16.0,04c88337db3d2410ca98166f29961943,1,Closed Complete,9e7005e2db8f50107ea8264cd39619b5 (1),9e7005e2db8f50107ea8264cd39619b5 (Open),22/02/2022 06:00,1567792,18.145740741
