request,cat_item,sys_updated_on,assignment_group,state,outcome,act_state,act_dv_state,ending_timestamp,seconds_to_end,days_to_end,elapsed_seconds,elapsed_days
55dbb21e9747c554ee61bc8fe153af2e,2f4d9e1fdb5b14507ea8264cd39619f9,2022-04-26 14:18:40.000,04c88337db3d2410ca98166f29961943,1,Closed Complete,2f4d9e1fdb5b14507ea8264cd39619f9 (1),2f4d9e1fdb5b14507ea8264cd39619f9 (Open),2022-05-30 22:02:07,2965408,34.321851851851854,0,0.0
55dbb21e9747c554ee61bc8fe153af2e,da0a989e873b30d094f140490cbb3593,2022-04-26 14:18:40.000,ffb84337db3d2410ca98166f299619c5,1,Closed Complete,da0a989e873b30d094f140490cbb3593 (1),da0a989e873b30d094f140490cbb3593 (Open),2022-05-30 22:02:07,2965408,34.321851851851854,0,0.0
55dbb21e9747c554ee61bc8fe153af2e,a0294496877730d094f140490cbb3507,2022-04-26 14:18:40.000,04c88337db3d2410ca98166f29961943,1,Closed Complete,a0294496877730d094f140490cbb3507 (1),a0294496877730d094f140490cbb3507 (Open),2022-05-30 22:02:07,2965408,34.321851851851854,0,0.0
55dbb21e9747c554ee61bc8fe153af2e,00e9e12587604d9494f140490cbb357f,2022-04-26 14:18:41.000,04c88337db3d2410ca98166f29961943,1,Closed Complete,00e9e12587604d9494f140490cbb357f (1),00e9e12587604d9494f140490cbb357f (Open),2022-05-30 22:02:07,2965407,34.32184027777778,1,1.1574074074074072e-05
55dbb21e9747c554ee61bc8fe153af2e,5d27f19587ff709094f140490cbb3528,2022-04-26 14:18:41.000,04c88337db3d2410ca98166f29961943,1,Closed Complete,5d27f19587ff709094f140490cbb3528 (1),5d27f19587ff709094f140490cbb3528 (Open),2022-05-30 22:02:07,2965407,34.32184027777778,1,1.1574074074074072e-05
55dbb21e9747c554ee61bc8fe153af2e,176708de873730d094f140490cbb35c8,2022-04-26 14:18:41.000,04c88337db3d2410ca98166f29961943,1,Closed Complete,176708de873730d094f140490cbb35c8 (1),176708de873730d094f140490cbb35c8 (Open),2022-05-30 22:02:07,2965407,34.32184027777778,1,1.1574074074074072e-05
55dbb21e9747c554ee61bc8fe153af2e,9e7005e2db8f50107ea8264cd39619b5,2022-04-26 14:18:41.000,04c88337db3d2410ca98166f29961943,1,Closed Complete,9e7005e2db8f50107ea8264cd39619b5 (1),9e7005e2db8f50107ea8264cd39619b5 (Open),2022-05-30 22:02:07,2965407,34.32184027777778,1,1.1574074074074072e-05
55dbb21e9747c554ee61bc8fe153af2e,b019b9a2dba71454b890bd5c68961990,2022-04-26 14:18:41.000,04c88337db3d2410ca98166f29961943,1,Closed Complete,b019b9a2dba71454b890bd5c68961990 (1),b019b9a2dba71454b890bd5c68961990 (Open),2022-05-30 22:02:07,2965407,34.32184027777778,1,1.1574074074074072e-05
55dbb21e9747c554ee61bc8fe153af2e,590a79518733b09094f140490cbb3580,2022-04-26 14:18:42.000,04c88337db3d2410ca98166f29961943,1,Closed Complete,590a79518733b09094f140490cbb3580 (1),590a79518733b09094f140490cbb3580 (Open),2022-05-30 22:02:07,2965406,34.3218287037037,2,2.3148148148148147e-05
55dbb21e9747c554ee61bc8fe153af2e,3385105e87f730d094f140490cbb35cd,2022-04-26 14:18:42.000,fd788121db5ea050816b7b42f396192f,1,Closed Complete,3385105e87f730d094f140490cbb35cd (1),3385105e87f730d094f140490cbb35cd (Open),2022-05-30 22:02:07,2965406,34.3218287037037,2,2.3148148148148147e-05
55dbb21e9747c554ee61bc8fe153af2e,8e4d445287b730d094f140490cbb35b4,2022-04-26 14:18:42.000,ccc88337db3d2410ca98166f29961929,1,Closed Complete,8e4d445287b730d094f140490cbb35b4 (1),8e4d445287b730d094f140490cbb35b4 (Open),2022-05-30 22:02:07,2965406,34.3218287037037,2,2.3148148148148147e-05
55dbb21e9747c554ee61bc8fe153af2e,aa347d1d87bf709094f140490cbb35a2,2022-04-26 14:18:43.000,04c88337db3d2410ca98166f29961943,1,Closed Complete,aa347d1d87bf709094f140490cbb35a2 (1),aa347d1d87bf709094f140490cbb35a2 (Open),2022-05-30 22:02:07,2965405,34.32181712962963,3,3.472222222222222e-05
55dbb21e9747c554ee61bc8fe153af2e,16ef04da87b730d094f140490cbb350d,2022-04-26 14:23:40.000,44c88337db3d2410ca98166f2996192d,1,Closed Complete,16ef04da87b730d094f140490cbb350d (1),16ef04da87b730d094f140490cbb350d (Open),2022-05-30 22:02:07,2965108,34.31837962962963,300,0.0034722222222222
55dbb21e9747c554ee61bc8fe153af2e,c04428de87fb30d094f140490cbb3516,2022-04-26 14:27:04.000,,3,Closed Complete,c04428de87fb30d094f140490cbb3516 (3),c04428de87fb30d094f140490cbb3516 (Closed Complete),2022-05-30 22:02:07,2964904,34.31601851851852,504,0.0058333333333333
55dbb21e9747c554ee61bc8fe153af2e,7ba4ec3e1be7749456f2ece5604bcb07,2022-04-26 14:48:30.000,04c88337db3d2410ca98166f29961943,1,Closed Complete,7ba4ec3e1be7749456f2ece5604bcb07 (1),7ba4ec3e1be7749456f2ece5604bcb07 (Open),2022-05-30 22:02:07,2963618,34.30113425925926,1790,0.0207175925925925
55dbb21e9747c554ee61bc8fe153af2e,40abdc16877b30d094f140490cbb351d,2022-04-26 15:02:21.000,fd53facf1b4690501f91759b1d4bcb82,-5,Closed Complete,40abdc16877b30d094f140490cbb351d (-5),40abdc16877b30d094f140490cbb351d (Pending),2022-05-30 22:02:07,2962787,34.2915162037037,2621,0.0303356481481481
