,Activity,Case ID,Complete Timestamp,label,nullRemaining,nullElapsed
0,Round Grinding - Machine 3,Case178,2012-02-01 04:50:00,regular,-1,-1
1,Round Grinding - Machine 2,Case178,2012-02-01 11:00:00,regular,-1,-1
2,Grinding Rework - Machine 27,Case178,2012-11-01 23:47:00,regular,-1,-1
3,Grinding Rework - Machine 27,Case178,2012-01-15 13:30:00,regular,-1,-1
4,Lapping - Machine 1,Case178,2012-01-15 15:12:00,regular,-1,-1
5,Lapping - Machine 1,Case178,2012-01-15 17:27:00,regular,-1,-1
6,Grinding Rework - Machine 27,Case178,2012-01-16 10:47:00,regular,-1,-1
7,other,Case178,2012-01-16 15:43:00,regular,-1,-1
8,other,Case178,2012-01-16 23:40:00,regular,-1,-1
9,other,Case178,2012-01-17 06:37:00,regular,-1,-1
10,other,Case178,2012-01-17 16:03:00,regular,-1,-1
11,other,Case178,2012-01-19 10:52:00,regular,-1,-1
12,Grinding Rework - Machine 27,Case178,2012-01-20 12:54:00,regular,-1,-1
13,Grinding Rework - Machine 27,Case178,2012-01-23 16:18:00,regular,-1,-1
14,Grinding Rework - Machine 27,Case178,2012-01-24 18:07:00,regular,-1,-1
15,Grinding Rework - Machine 27,Case178,2012-01-25 21:27:00,regular,-1,-1
16,Grinding Rework - Machine 27,Case178,2012-01-29 09:29:00,regular,-1,-1
17,Grinding Rework - Machine 27,Case178,2012-01-30 07:30:00,regular,-1,-1
18,Grinding Rework - Machine 27,Case178,2012-09-02 10:49:00,regular,-1,-1
19,Grinding Rework - Machine 27,Case178,2012-02-16 16:10:00,regular,-1,-1
20,Grinding Rework - Machine 27,Case178,2012-07-03 18:00:00,regular,-1,-1
21,Grinding Rework - Machine 27,Case178,2012-07-03 23:35:00,regular,-1,-1
22,Grinding Rework - Machine 27,Case178,2012-08-03 15:55:00,regular,-1,-1
23,Grinding Rework - Machine 27,Case178,2012-08-03 22:46:00,regular,-1,-1
24,Grinding Rework - Machine 27,Case178,2012-09-03 12:20:00,regular,-1,-1
25,Grinding Rework - Machine 27,Case178,2012-11-03 15:41:00,regular,-1,-1
26,Grinding Rework - Machine 27,Case178,2012-11-03 19:25:00,regular,-1,-1
27,Grinding Rework - Machine 27,Case178,2012-12-03 09:04:00,regular,-1,-1
28,Grinding Rework - Machine 27,Case178,2012-12-03 15:53:00,regular,-1,-1
29,Turning & Milling Q.C.,Case178,2012-12-03 16:45:00,regular,-1,-1
30,Lapping - Machine 1,Case178,2012-03-14 01:15:00,regular,-1,-1
31,Laser Marking - Machine 7,Case178,2012-03-14 01:15:00,regular,-1,-1
32,Round Grinding - Machine 3,Case178,2012-03-14 01:15:00,regular,-1,-1
33,Round Grinding - Q.C.,Case178,2012-03-14 01:15:00,regular,-1,-1
34,regular,Case178,2012-03-14 01:15:01,regular,0,-1
35,Turning & Milling - Machine 4,Case238,2012-02-01 07:00:00,deviant,-1,-1
36,Turning & Milling - Machine 4,Case238,2012-02-01 14:00:00,deviant,-1,-1
37,Turning & Milling - Machine 4,Case238,2012-02-01 16:00:00,deviant,-1,-1
38,Turning & Milling - Machine 4,Case238,2012-03-01 07:00:00,deviant,-1,-1
39,Turning & Milling - Machine 4,Case238,2012-03-01 07:43:00,deviant,-1,-1
40,Turning & Milling - Machine 4,Case238,2012-03-01 08:49:00,deviant,-1,-1
41,Turning & Milling Q.C.,Case238,2012-03-01 09:11:00,deviant,-1,-1
42,Turning & Milling - Machine 4,Case238,2012-03-01 16:07:00,deviant,-1,-1
