,cat_item,request,sys_updated_on,outcome,elapsed_days,days_to_end
0,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 09:32:39,Closed Complete,,
1,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 09:32:39,Closed Complete,,
2,7ba4ec3e1be7749456f2ece5604bcb07,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 09:32:39,Closed Complete,,
3,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 09:32:40,Closed Complete,,
4,b019b9a2dba71454b890bd5c68961990,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 09:32:40,Closed Complete,,
5,40abdc16877b30d094f140490cbb351d,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 09:32:40,Closed Complete,,
6,590a79518733b09094f140490cbb3580,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 09:32:41,Closed Complete,,
7,3385105e87f730d094f140490cbb35cd,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 09:32:41,Closed Complete,,
8,16ef04da87b730d094f140490cbb350d,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 09:32:42,Closed Complete,,
9,00e9e12587604d9494f140490cbb357f,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 09:32:42,Closed Complete,,
10,da0a989e873b30d094f140490cbb3593,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 10:15:18,Closed Complete,,
11,8e4d445287b730d094f140490cbb35b4,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 10:19:34,Closed Complete,,
12,16ef04da87b730d094f140490cbb350d,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 10:59:14,Closed Complete,,
13,3385105e87f730d094f140490cbb35cd,4bb53fbb87d901d05addc8490cbb354d,2022-02-03 12:03:02,Closed Complete,,
14,aa347d1d87bf709094f140490cbb35a2,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 00:22:04,Closed Complete,,
15,b019b9a2dba71454b890bd5c68961990,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 00:22:11,Closed Complete,,
16,590a79518733b09094f140490cbb3580,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 00:22:18,Closed Complete,,
17,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:16,Closed Complete,,
18,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:16,Closed Complete,,
19,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:16,Closed Complete,,
20,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:16,Closed Complete,,
21,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:16,Closed Complete,,
22,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:16,Closed Complete,,
23,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:16,Closed Complete,,
24,9e7005e2db8f50107ea8264cd39619b5,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:16,Closed Complete,,
25,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:20,Closed Complete,,
26,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:20,Closed Complete,,
27,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:20,Closed Complete,,
28,5d27f19587ff709094f140490cbb3528,4bb53fbb87d901d05addc8490cbb354d,2022-02-04 02:30:20,Closed Complete,,
